Fa_chr1	62194839	62209376	Mo_chr1	63184939	63199478
Fa_chr7	13121263	13159947	Mo_chr7	31406398	31445044
Fa_chr7	11041041	11080087	Mo_chr7	33490305	33529332
Fa_chr7	20894803	20932286	Mo_chr7	23631674	23669176
Fa_chr7	21528324	21565772	Mo_chr7	22998937	23036390
Fa_chr7	12217843	12257766	Mo_chr7	32310797	32350705
Fa_chr7	26307165	26346655	Mo_chr7	18195741	18235259
Fa_chr7	14296662	14333458	Mo_chr7	30232485	30269281
Fa_chr7	20637063	20674134	Mo_chr7	23889853	23926964
Fa_chr7	20857082	20894340	Mo_chr7	23669639	23706891
Fa_chr7	40206506	40245592	Mo_chr7	9274501	9313598
Fa_chr7	21153844	21190687	Mo_chr7	23374217	23411068
Fa_chr7	23309473	23349472	Mo_chr7	21204752	21250751
Fa_chr7	7093561	7130642	Mo_chr7	37429548	37466607
Fa_chr7	11174057	11208456	Mo_chr7	33361413	33395832
Fa_chr7	40245807	40282501	Mo_chr7	9237588	9274286
Fa_chr7	26151824	26188922	Mo_chr7	18353446	18390695
Fa_chr7	22393494	22429435	Mo_chr7	22137054	22172978
Fa_chr7	10677106	10712596	Mo_chr7	33855698	33891150
Fa_chr7	26488921	26524328	Mo_chr7	18018112	18053517
Fa_chr7	6324014	6360279	Mo_chr7	38199205	38235417
Fa_chr7	19838027	19873188	Mo_chr7	24699802	24734925
Fa_chr7	10018915	10055031	Mo_chr7	34513437	34549580
Fa_chr7	36040407	36078974	Mo_chr7	3514035	3552657
Fa_chr7	9333907	9368509	Mo_chr7	35192177	35226779
Fa_chr7	11210299	11245707	Mo_chr7	33324310	33359571
Fa_chr7	17260437	17296225	Mo_chr7	27263606	27299396
Fa_chr7	19534343	19569583	Mo_chr7	24989021	25024283
Fa_chr7	27432578	27469524	Mo_chr7	17073074	17109998
Fa_chr7	8104119	8141862	Mo_chr7	36417751	36455458
Fa_chr7	13411703	13446135	Mo_chr7	31129205	31163611
Fa_chr7	21414828	21451507	Mo_chr7	23113194	23149993
Fa_chr7	15133213	15169037	Mo_chr7	29396343	29432079
Fa_chr7	11337234	11371647	Mo_chr7	33198211	33232655
Fa_chr7	17210101	17243592	Mo_chr7	27316249	27349733
Fa_chr7	8538714	8573223	Mo_chr7	35986811	36021310
Fa_chr7	26583489	26617600	Mo_chr7	17924824	17958933
Fa_chr7	5582976	5617217	Mo_chr7	38940631	38974869
Fa_chr7	23584345	23618039	Mo_chr7	20936322	20970000
Fa_chr7	10919010	10952454	Mo_chr7	33615872	33649308
Fa_chr7	9368767	9402213	Mo_chr7	35158451	35191919
Fa_chr7	23028305	23062238	Mo_chr7	21497974	21531981
Fa_chr7	14158180	14189068	Mo_chr7	30376805	30407669
Fa_chr7	3941822	3974450	Mo_chr7	40578074	40610691
Fa_chr7	22789217	22822240	Mo_chr7	21743854	21776872
Fa_chr7	11609479	11641501	Mo_chr7	32927998	32960015
Fa_chr7	12402968	12435210	Mo_chr7	32133294	32165568
Fa_chr7	5446511	5480132	Mo_chr7	39077565	39111183
Fa_chr7	10818102	10851562	Mo_chr7	33716683	33750179
Fa_chr7	16722231	16754237	Mo_chr7	27807883	27839891
Fa_chr7	5089655	5122827	Mo_chr7	39435070	39468236
Fa_chr7	22019983	22053976	Mo_chr7	22506737	22540736
Fa_chr7	20293414	20328526	Mo_chr7	24235411	24274922
Fa_chr7	3865746	3901749	Mo_chr7	40650937	40687070
Fa_chr7	12859234	12892466	Mo_chr7	31676122	31709316
Fa_chr7	3746525	3781320	Mo_chr7	40771441	40806926
Fa_chr7	2946930	2980798	Mo_chr7	41572324	41606172
Fa_chr7	10483000	10515741	Mo_chr7	34052286	34085422
Fa_chr7	26842142	26875276	Mo_chr7	17667265	17700384
Fa_chr7	25199153	25232421	Mo_chr7	19318516	19351786
Fa_chr7	21056275	21087182	Mo_chr7	23477155	23507646
Fa_chr7	10106646	10138214	Mo_chr7	34430262	34461821
Fa_chr7	13455814	13487553	Mo_chr7	31079441	31111066
Fa_chr7	35588045	35623621	Mo_chr7	3969837	4005370
Fa_chr7	35679221	35712880	Mo_chr7	3880604	3914229
Fa_chr7	12672063	12703512	Mo_chr7	31864999	31896405
Fa_chr7	6055024	6086672	Mo_chr7	38472478	38504110
Fa_chr7	4556893	4589968	Mo_chr7	39963563	39996641
Fa_chr7	20095333	20125205	Mo_chr7	24447574	24477448
Fa_chr7	13354209	13386176	Mo_chr7	31189127	31221044
Fa_chr7	21220883	21249397	Mo_chr7	23315526	23344038
Fa_chr7	35435687	35468748	Mo_chr7	4124525	4157580
Fa_chr7	15203473	15235510	Mo_chr7	29329868	29361902
Fa_chr7	5719365	5750220	Mo_chr7	38808747	38839587
Fa_chr7	17622372	17652679	Mo_chr7	26907115	26937436
Fa_chr7	23507603	23538066	Mo_chr7	21016264	21046708
Fa_chr7	26642658	26672783	Mo_chr7	17869593	17899753
Fa_chr7	8905378	8938843	Mo_chr7	35620863	35654321
Fa_chr7	24812008	24840627	Mo_chr7	19710212	19738832
Fa_chr7	26347431	26378283	Mo_chr7	18164144	18194965
Fa_chr7	11951310	11981914	Mo_chr7	32586611	32617210
Fa_chr7	5054574	5085430	Mo_chr7	39472467	39503284
Fa_chr7	27042154	27072018	Mo_chr7	17470530	17500377
Fa_chr7	8073011	8103924	Mo_chr7	36455651	36486572
Fa_chr7	15467566	15499027	Mo_chr7	29066439	29097887
Fa_chr7	17315807	17343536	Mo_chr7	27216304	27244032
Fa_chr7	18329820	18359767	Mo_chr7	26201451	26231398
Fa_chr7	8669137	8698603	Mo_chr7	35861491	35890928
Fa_chr7	9674808	9704516	Mo_chr7	34856188	34885899
Fa_chr7	40481888	40511893	Mo_chr7	9008276	9038271
Fa_chr7	16070372	16099702	Mo_chr7	28469566	28498947
Fa_chr7	16040609	16070188	Mo_chr7	28499132	28528764
Fa_chr7	17108694	17139659	Mo_chr7	27420961	27451980
Fa_chr7	9609137	9641089	Mo_chr7	34919577	34951565
Fa_chr7	15710023	15739939	Mo_chr7	28829487	28859372
Fa_chr7	25550968	25582477	Mo_chr7	18968452	18999952
Fa_chr7	11920924	11950196	Mo_chr7	32618313	32647601
Fa_chr7	25168724	25198114	Mo_chr7	19352817	19382208
Fa_chr7	15284855	15312547	Mo_chr7	29252861	29280536
Fa_chr7	6455201	6486842	Mo_chr7	38072668	38104294
Fa_chr7	16256608	16285526	Mo_chr7	28276591	28305537
Fa_chr7	4407259	4437438	Mo_chr7	40115108	40145311
Fa_chr7	16439571	16467534	Mo_chr7	28094603	28122564
Fa_chr7	16467927	16496392	Mo_chr7	28065733	28094210
Fa_chr7	6690237	6717733	Mo_chr7	37842268	37869761
Fa_chr7	13710067	13738084	Mo_chr7	30828928	30856924
Fa_chr7	35890861	35918998	Mo_chr7	3674047	3702172
Fa_chr7	16370642	16399041	Mo_chr7	28163134	28191476
Fa_chr7	23163791	23192282	Mo_chr7	21367992	21396472
Fa_chr7	16786028	16813604	Mo_chr7	27746032	27776092
Fa_chr7	40282703	40310369	Mo_chr7	9209726	9237386
Fa_chr7	4085108	4114055	Mo_chr7	40438539	40467469
Fa_chr7	15106021	15132590	Mo_chr7	29432702	29459268
Fa_chr7	20758108	20785904	Mo_chr7	23778034	23805814
Fa_chr7	20684230	20710431	Mo_chr7	23853521	23879761
Fa_chr7	15993467	16021479	Mo_chr7	28547882	28575903
Fa_chr7	12703896	12732695	Mo_chr7	31835801	31864615
Fa_chr7	7763898	7791459	Mo_chr7	36769991	36797525
Fa_chr7	23956825	23984234	Mo_chr7	20569774	20597196
Fa_chr7	18281248	18308309	Mo_chr7	26252903	26279911
Fa_chr7	13564867	13591324	Mo_chr7	30975597	31002059
Fa_chr7	8343115	8369753	Mo_chr7	36189912	36216533
Fa_chr7	12463305	12489693	Mo_chr7	32078823	32105190
Fa_chr7	6218848	6246121	Mo_chr7	38313309	38340591
Fa_chr7	6417652	6446907	Mo_chr7	38112583	38141796
Fa_chr7	35939151	35966800	Mo_chr7	3626359	3654009
Fa_chr7	8738149	8764778	Mo_chr7	35794555	35821147
Fa_chr7	23481252	23507304	Mo_chr7	21047007	21073150
Fa_chr7	15520014	15546725	Mo_chr7	29018742	29045439
Fa_chr7	15655565	15680725	Mo_chr7	28888672	28913815
Fa_chr7	12732952	12759713	Mo_chr7	31808813	31835544
Fa_chr7	4653789	4685794	Mo_chr7	39871833	39899707
Fa_chr7	6108370	6135333	Mo_chr7	38423909	38450836
Fa_chr7	15320469	15346817	Mo_chr7	29218593	29244934
Fa_chr7	14015782	14041450	Mo_chr7	30524568	30550238
Fa_chr7	3344020	3373421	Mo_chr7	41179150	41208571
Fa_chr7	26043870	26070322	Mo_chr7	18472156	18498639
Fa_chr7	25870866	25897388	Mo_chr7	18645196	18671704
Fa_chr7	16214733	16239333	Mo_chr7	28322813	28347430
Fa_chr7	16813901	16840178	Mo_chr7	27719473	27745736
Fa_chr7	14043694	14070611	Mo_chr7	30495417	30522322
Fa_chr7	9739672	9766585	Mo_chr7	34802378	34829268
Fa_chr7	22489871	22515996	Mo_chr7	22050265	22076621
Fa_chr7	10060062	10086202	Mo_chr7	34482270	34508409
Fa_chr7	15441724	15466982	Mo_chr7	29098471	29123697
Fa_chr7	5865148	5892043	Mo_chr7	38667063	38693976
Fa_chr7	26772177	26798535	Mo_chr7	17743906	17770261
Fa_chr7	8878319	8904318	Mo_chr7	35655385	35681365
Fa_chr7	16870291	16895426	Mo_chr7	27664249	27689359
Fa_chr7	9577867	9602323	Mo_chr7	34958379	34982831
Fa_chr7	3901998	3928775	Mo_chr7	40623945	40650688
Fa_chr7	19931348	19956140	Mo_chr7	24616736	24641534
Fa_chr7	40448079	40472671	Mo_chr7	9047488	9072062
Fa_chr7	36132655	36160186	Mo_chr7	3432956	3460488
Fa_chr7	7012711	7037630	Mo_chr7	37522644	37547542
Fa_chr7	20189031	20214843	Mo_chr7	24357864	24383699
Fa_chr7	17343758	17367150	Mo_chr7	27192726	27216082
Fa_chr7	18807565	18832171	Mo_chr7	25730827	25755429
Fa_chr7	15010985	15036112	Mo_chr7	29529238	29554450
Fa_chr7	8317443	8342512	Mo_chr7	36217136	36242206
Fa_chr7	15836327	15860416	Mo_chr7	28709016	28733136
Fa_chr7	22550720	22576071	Mo_chr7	21990055	22015327
Fa_chr7	24958373	24984440	Mo_chr7	19566533	19592571
Fa_chr7	16497409	16522384	Mo_chr7	28039714	28064716
Fa_chr7	25739758	25764781	Mo_chr7	18777763	18802799
Fa_chr7	14088256	14112113	Mo_chr7	30453909	30477766
Fa_chr7	36105516	36132416	Mo_chr7	3460727	3487662
Fa_chr7	20246828	20272341	Mo_chr7	24295980	24325884
Fa_chr7	24159948	24185034	Mo_chr7	20368930	20394006
Fa_chr7	18074495	18098781	Mo_chr7	26462366	26486681
Fa_chr7	23062860	23086674	Mo_chr7	21473539	21497352
Fa_chr7	23279457	23303523	Mo_chr7	21256692	21280774
Fa_chr7	17083122	17108483	Mo_chr7	27452191	27476636
Fa_chr7	11495639	11521488	Mo_chr7	33048413	33074259
Fa_chr7	21794519	21818347	Mo_chr7	22746784	22770604
Fa_chr7	14123825	14148023	Mo_chr7	30417827	30442018
Fa_chr7	18169101	18193458	Mo_chr7	26367666	26392016
Fa_chr7	9104772	9129048	Mo_chr7	35430262	35454531
Fa_chr7	7520709	7544284	Mo_chr7	37016169	37039750
Fa_chr7	26618186	26642411	Mo_chr7	17900000	17924238
Fa_chr7	6299069	6323716	Mo_chr7	38235711	38260333
Fa_chr7	24985687	25010507	Mo_chr7	19540453	19565286
Fa_chr7	16754556	16777403	Mo_chr7	27784717	27807564
Fa_chr7	13754456	13777059	Mo_chr7	30788954	30811559
Fa_chr7	5837207	5861930	Mo_chr7	38697204	38721916
Fa_chr7	8004978	8028020	Mo_chr7	36531565	36554603
Fa_chr7	11569516	11593461	Mo_chr7	32976548	33000463
Fa_chr7	24118958	24142616	Mo_chr7	20411357	20435014
Fa_chr7	4013883	4036395	Mo_chr7	40516164	40538674
Fa_chr7	14529365	14552845	Mo_chr7	30012320	30036020
Fa_chr7	23927725	23950802	Mo_chr7	20603220	20626298
Fa_chr7	23227852	23252054	Mo_chr7	21308151	21332355
Fa_chr7	10182352	10205714	Mo_chr7	34362737	34386123
Fa_chr7	11982449	12004252	Mo_chr7	32564269	32586069
Fa_chr7	3439729	3462639	Mo_chr7	41090366	41113247
Fa_chr7	24185245	24208614	Mo_chr7	20345348	20368719
Fa_chr7	23349608	23371959	Mo_chr7	21182252	21204614
Fa_chr7	19815147	19837186	Mo_chr7	24735773	24757815
Fa_chr7	24603351	24626484	Mo_chr7	19924514	19947711
Fa_chr7	23790087	23813361	Mo_chr7	20740724	20764000
Fa_chr7	12364297	12386341	Mo_chr7	32182189	32204223
Fa_chr7	26524639	26547227	Mo_chr7	17995209	18017801
Fa_chr7	11450138	11472703	Mo_chr7	33097187	33119750
Fa_chr7	6509858	6532772	Mo_chr7	38026721	38049633
Fa_chr7	11151473	11173060	Mo_chr7	33396829	33418407
Fa_chr7	16142543	16164645	Mo_chr7	28397532	28419640
Fa_chr7	25435870	25457882	Mo_chr7	19093006	19115013
Fa_chr7	22765273	22789029	Mo_chr7	21777060	21800888
Fa_chr7	16417346	16438968	Mo_chr7	28123185	28144807
Fa_chr7	27571122	27593558	Mo_chr7	16948816	16971470
Fa_chr7	14720198	14740946	Mo_chr7	29824253	29845002
Fa_chr7	8944817	8968069	Mo_chr7	35591728	35614883
Fa_chr7	21198352	21220665	Mo_chr7	23344256	23366560
Fa_chr7	24903091	24926907	Mo_chr7	19624012	19647774
Fa_chr7	18194045	18216666	Mo_chr7	26344466	26367079
Fa_chr7	16336436	16358504	Mo_chr7	28203588	28225660
Fa_chr7	7404767	7426273	Mo_chr7	37134116	37155636
Fa_chr7	22848200	22870935	Mo_chr7	21695055	21717898
Fa_chr7	3129021	3152574	Mo_chr7	41400920	41424429
Fa_chr7	12837890	12858476	Mo_chr7	31710074	31730659
Fa_chr7	23633464	23656085	Mo_chr7	20898156	20920879
Fa_chr7	11406950	11429292	Mo_chr7	33140606	33162909
Fa_chr7	5902743	5925769	Mo_chr7	38633341	38656351
Fa_chr7	17714977	17736800	Mo_chr7	26823006	26844822
Fa_chr7	22189602	22211593	Mo_chr7	22353535	22375545
Fa_chr7	23257387	23278346	Mo_chr7	21281874	21302830
Fa_chr7	40538168	40559822	Mo_chr7	8960341	8982018
Fa_chr7	16646917	16667658	Mo_chr7	27894493	27915232
Fa_chr7	25376169	25398139	Mo_chr7	19152741	19174684
Fa_chr7	17944270	17964546	Mo_chr7	26596048	26616320
Fa_chr7	18643148	18664418	Mo_chr7	25896573	25917826
Fa_chr7	25979413	26001987	Mo_chr7	18540518	18563149
Fa_chr7	10218420	10238948	Mo_chr7	34329506	34350033
Fa_chr7	24412708	24433884	Mo_chr7	20120172	20141323
Fa_chr7	13591688	13613203	Mo_chr7	30953782	30975233
Fa_chr7	9308758	9329578	Mo_chr7	35231109	35251934
Fa_chr7	26123187	26143708	Mo_chr7	18398795	18419311
Fa_chr7	5274705	5295838	Mo_chr7	39261875	39283014
Fa_chr7	4836994	4858783	Mo_chr7	39698919	39720717
Fa_chr7	25298907	25319415	Mo_chr7	19231481	19251988
Fa_chr7	3469300	3490654	Mo_chr7	41062407	41083795
Fa_chr7	5696991	5718788	Mo_chr7	38840169	38861977
Fa_chr7	7477827	7498698	Mo_chr7	37061834	37082639
Fa_chr7	6260416	6282347	Mo_chr7	38277064	38298991
Fa_chr7	9950256	9970394	Mo_chr7	34598959	34619094
Fa_chr7	20569141	20590356	Mo_chr7	23973679	23994930
Fa_chr7	17866907	17887841	Mo_chr7	26672747	26693686
Fa_chr7	11375947	11396466	Mo_chr7	33173392	33193908
Fa_chr7	13880480	13900329	Mo_chr7	30665661	30685513
Fa_chr7	41033529	41052644	Mo_chr7	48244533	48263648
Fa_chr7	4710149	4733611	Mo_chr7	39824035	39847488
Fa_chr7	26386464	26410316	Mo_chr7	18132101	18155970
Fa_chr7	4907885	4928488	Mo_chr7	39629270	39649869
Fa_chr7	19641456	19662361	Mo_chr7	24896210	24917099
Fa_chr7	15629767	15649705	Mo_chr7	28919671	28939599
Fa_chr7	16576684	16596770	Mo_chr7	27965355	27985441
Fa_chr7	11020769	11040541	Mo_chr7	33529832	33549640
Fa_chr7	22743455	22764389	Mo_chr7	21801771	21822679
Fa_chr7	16668307	16689139	Mo_chr7	27872999	27893844
Fa_chr7	35500761	35522537	Mo_chr7	4070828	4092510
Fa_chr7	3272007	3293592	Mo_chr7	41258836	41280422
Fa_chr7	40563181	40585793	Mo_chr7	8934343	8956982
Fa_chr7	10440016	10459789	Mo_chr7	34108621	34128393
Fa_chr7	16554882	16576435	Mo_chr7	27985693	28007200
Fa_chr7	24719732	24738959	Mo_chr7	19812040	19831298
Fa_chr7	6668736	6689208	Mo_chr7	37870790	37891253
Fa_chr32	12953828	12975507	Mo_chr7	46019485	46041176
Fa_chr7	24091129	24110117	Mo_chr7	20443863	20462854
Fa_chr7	26021751	26041778	Mo_chr7	18500733	18520795
Fa_chr32	12953828	12975507	Mo_chr7	44503176	44524865
Fa_chr7	15900881	15919953	Mo_chr7	28649415	28668494
Fa_chr7	9827094	9845867	Mo_chr7	34723458	34742228
Fa_chr7	19873833	19892748	Mo_chr7	24680069	24699157
Fa_chr32	12953828	12975507	Mo_chr7	46664965	46686666
Fa_chr7	27181444	27200377	Mo_chr7	17342171	17361102
Fa_chr7	4798153	4818542	Mo_chr7	39739159	39759557
Fa_chr7	6087306	6107900	Mo_chr7	38451306	38471844
Fa_chr7	17391673	17409673	Mo_chr7	27150227	27168228
Fa_chr7	3491352	3511163	Mo_chr7	41042165	41061973
Fa_chr7	14605012	14624439	Mo_chr7	29940776	29960197
Fa_chr7	26878425	26897109	Mo_chr7	17645437	17664116
Fa_chr7	41014633	41033027	Mo_chr7	48264150	48282538
Fa_chr7	23713602	23732939	Mo_chr7	20821232	20840595
Fa_chr7	11475139	11495426	Mo_chr7	33074472	33094749
Fa_chr7	6361137	6381520	Mo_chr7	38177911	38198347
Fa_chr7	14509845	14529001	Mo_chr7	30036384	30055558
Fa_chr7	18778357	18796246	Mo_chr7	25766733	25784626
Fa_chr7	17372703	17391084	Mo_chr7	27168817	27187193
Fa_chr7	19956650	19975087	Mo_chr7	24597775	24616220
Fa_chr7	10516451	10536003	Mo_chr7	34032023	34051576
Fa_chr7	24770280	24789653	Mo_chr7	19761192	19780728
Fa_chr7	4959887	4978293	Mo_chr7	39579454	39597865
Fa_chr7	10317181	10336744	Mo_chr7	34231682	34251262
Fa_chr7	21639553	21660075	Mo_chr7	22905083	22925159
Fa_chr7	14210296	14229653	Mo_chr7	30336256	30355595
Fa_chr7	8995933	9014282	Mo_chr7	35545233	35563588
Fa_chr7	18621476	18639564	Mo_chr7	25921413	25939501
Fa_chr7	23656567	23675892	Mo_chr7	20878315	20897674
Fa_chr7	9402462	9421246	Mo_chr7	35139442	35158202
Fa_chr7	26467812	26487691	Mo_chr7	18054747	18074606
Fa_chr7	36017640	36036822	Mo_chr7	3556234	3575425
Fa_chr7	12580226	12598768	Mo_chr7	31969729	31988265
Fa_chr7	7450693	7469789	Mo_chr7	37090662	37109756
Fa_chr7	11122908	11141825	Mo_chr7	33428054	33448909
Fa_chr7	15691460	15709805	Mo_chr7	28859590	28877931
Fa_chr7	3408978	3428919	Mo_chr7	41124060	41144062
Fa_chr7	7074655	7093388	Mo_chr7	37466769	37485494
Fa_chr7	9878485	9896445	Mo_chr7	34672897	34690867
Fa_chr7	25824999	25844080	Mo_chr7	18698523	18717641
Fa_chr7	10255696	10274030	Mo_chr7	34294414	34312751
Fa_chr7	40799014	40819558	Mo_chr7	8707454	8727988
Fa_chr7	24939998	24957682	Mo_chr7	19593245	19610912
Fa_chr7	35159913	35178218	Mo_chr7	42529898	42548203
Fa_chr7	23898037	23916057	Mo_chr7	20637966	20656010
Fa_chr7	10757161	10775373	Mo_chr7	33792913	33811122
Fa_chr7	20473043	20492756	Mo_chr7	24071249	24090997
Fa_chr7	19094803	19112412	Mo_chr7	25451048	25468645
Fa_chr7	15923717	15942189	Mo_chr7	28627173	28645651
Fa_chr7	13912205	13930705	Mo_chr7	30635337	30653785
Fa_chr7	22316789	22335314	Mo_chr7	22229942	22248395
Fa_chr7	19495075	19514347	Mo_chr7	25044273	25063547
Fa_chr7	25114782	25132982	Mo_chr7	19417988	19436190
Fa_chr7	21291631	21310539	Mo_chr7	23254304	23273221
Fa_chr7	19112962	19131103	Mo_chr7	25432352	25450498
Fa_chr7	15054915	15073964	Mo_chr7	29491347	29510396
Fa_chr7	26002585	26021527	Mo_chr7	18521019	18539920
Fa_chr7	9019665	9038452	Mo_chr7	35521049	35539850
Fa_chr7	25417171	25435611	Mo_chr7	19115272	19133711
Fa_chr7	8269807	8290436	Mo_chr7	36269190	36289813
Fa_chr7	24634500	24652242	Mo_chr7	19898762	19916492
Fa_chr7	9422328	9440880	Mo_chr7	35119806	35138360
Fa_chr7	22160196	22179324	Mo_chr7	22385823	22404798
Fa_chr7	40409434	40427302	Mo_chr7	9092837	9110697
Fa_chr7	23140964	23158834	Mo_chr7	21401427	21419292
Fa_chr7	16164974	16183831	Mo_chr7	28378346	28397203
Fa_chr7	22871293	22890366	Mo_chr7	21675607	21694697
Fa_chr7	6188671	6207025	Mo_chr7	38352422	38370586
Fa_chr7	2826371	2845657	Mo_chr7	41707926	41727202
Fa_chr7	24696197	24714204	Mo_chr7	19836828	19854837
